3000 59607
1 2 56380
1 109 67220
1 115 54760
1 156 15510
1 179 70540
1 195 86030
1 197 69080
1 246 96010
1 312 18200
1 413 23580
1 437 25480
1 517 12710
1 681 83600
1 687 49960
1 715 45880
1 720 14380
1 722 83170
1 826 16540
1 853 28320
1 917 2460
1 938 13680
1 952 67310
1 1020 31060
1 1029 87850
1 1123 50720
1 1183 28170
1 1204 18950
1 1337 3870
1 1443 57370
1 1509 15500
1 1510 89960
1 1541 45480
1 1709 54160
1 1847 53030
1 1949 8550
1 1973 2450
1 2056 13820
1 2112 7400
1 2131 3800
1 2281 57490
1 2434 82200
1 2475 50430
1 2625 86210
1 2671 92300
1 2775 39140
1 2855 75390
1 2979 23860
2 3 48550
2 32 42660
2 44 50550
2 80 68080
2 96 56190
2 116 81930
2 196 39990
2 281 10360
2 282 40800
2 296 30900
2 325 2940
2 338 16890
2 343 58470
2 357 79690
2 519 74510
2 583 10620
2 640 53160
2 652 72980
2 654 50330
2 655 39380
2 688 17800
2 717 83500
2 718 19510
2 774 37780
2 872 54140
2 989 72640
2 1150 23920
2 1174 17760
2 1252 7370
2 1359 41760
2 1432 95750
2 1471 26460
2 1732 26250
2 1848 44300
2 1872 51840
2 1881 37260
2 2075 78220
2 2088 38350
2 2219 3800
2 2265 5390
2 2328 7040
2 2379 39320
2 2513 70110
2 2618 38090
2 2673 54260
2 2798 37280
2 2816 51500
2 2853 21110
2 2922 71820
2 2942 22200
2 2995 4110
3 4 55650
3 19 47130
3 44 26380
3 195 19610
3 446 65290
3 499 4480
3 525 48700
3 680 6910
3 759 22870
3 788 14770
3 820 96390
3 991 52100
3 1029 35910
3 1121 10340
3 1303 30910
3 1482 53150
3 1542 60150
3 1604 48250
3 1607 95750
3 1628 5900
3 1663 57500
3 1716 97590
3 1758 53250
3 1813 62930
3 1875 28970
3 1894 60310
3 2004 98340
3 2008 39340
3 2120 74400
3 2139 86230
3 2163 7460
3 2189 39290
3 2231 48660
3 2232 28920
3 2241 26290
3 2272 33170
3 2277 38980
3 2314 51670
3 2397 61830
3 2449 18660
3 2643 7740
3 2649 58250
3 2795 61910
3 2814 45770
3 2900 97650
3 2946 25330
4 5 21950
4 36 89210
4 73 76090
4 112 35040
4 311 44670
4 411 26100
4 443 24900
4 482 32650
4 508 99270
4 583 20470
4 725 98480
