9000 99875
1 2 98170
1 154 55760
1 357 93570
1 2019 73790
1 2078 22510
1 2247 41130
1 2560 25950
1 2761 21970
1 2878 24360
1 4341 75030
1 4998 56810
1 5171 34510
1 5431 51190
1 5644 61120
1 5816 54100
1 6365 68220
1 6375 24180
1 7683 38440
1 8104 26050
2 3 17290
2 247 41570
2 275 23530
2 568 60870
2 1044 3380
2 1115 6410
2 1133 64940
2 1141 28680
2 1264 11510
2 1442 17280
2 1608 78580
2 1846 14770
2 2295 67330
2 2378 59610
2 2394 49880
2 2630 30740
2 2855 19760
2 3088 50490
2 3183 91560
2 3415 44040
2 3423 17170
2 6728 56180
2 7186 20290
2 7405 82280
2 7716 17840
2 8185 87240
2 8806 69370
2 8903 40640
3 4 65000
3 313 67140
3 1024 41180
3 1288 21040
3 1346 42930
3 2122 36520
3 2165 52880
3 2829 88380
3 3310 46310
3 3340 33190
3 3850 94190
3 4094 73230
3 4364 43270
3 5440 72360
3 5527 80
3 5600 95740
3 5636 93100
3 6417 56080
3 6603 59650
3 6675 72340
4 5 7690
4 8 84250
4 27 8870
4 801 53100
4 1069 98940
4 1290 58610
4 2039 14360
4 2424 48720
4 2574 19650
4 2636 59510
4 2639 51820
4 2868 41940
4 2997 68430
4 3157 5990
4 3694 81590
4 3794 60560
4 4007 20290
4 4566 19180
4 5448 33630
4 5568 91810
4 6212 13960
4 6463 4700
4 7578 11470
4 8906 44690
5 6 93730
5 21 58010
5 26 35390
5 49 73050
5 127 75990
5 228 20780
5 462 49610
5 616 60490
5 999 15540
5 1544 6500
5 1629 74300
5 2085 29480
5 2204 80290
5 2928 13100
5 2991 17940
5 3126 28960
5 3238 20370
5 3408 6620
5 3649 40940
5 4125 72910
5 4146 84010
5 4189 23920
5 4289 54410
5 5065 23210
5 5105 46630
5 5106 58550
5 5457 18260
5 6635 6760
5 8955 99110
6 7 97340
6 27 62170
6 120 24140
6 884 37050
6 1164 79730
6 1228 88550
6 2965 60890
6 3391 83870
6 3575 66480
6 3734 99100
6 3853 28090
6 3929 11180
6 4052 75740
6 4446 12340
6 5027 18700
6 5508 14160
6 5571 13530
6 6039 64030
6 6188 72200
6 6207 5890
6 6412 19580
6 7290 69820
6 7636 77180
6 7758 62100
6 8197 84740
6 8459 6180
6 8489 41630
6 8939 53510
7 8 78200
7 407 90540
7 592 64720
7 831 80180
7 1255 70570
7 2038 66990
7 2245 65820
7 3383 1870
7 3733 87460
7 3752 550
7 4138 96710
7 4174 9180
7 4726 40220
7 5469 6260
7 6122 3870
7 7874 79480
7 8441 35250
7 8880 52850
8 9 91830
8 126 17540
8 726 49800
8 865 82610
8 1200 25400
8 1428 11670
8 1919 79020
8 2531 73990
8 3423 93820
8 4004 90720
8 4432 92420
8 5752 22830
8 6043 43890
8 6848 67830
8 7690 18380
8 7897 8390
8 8454 54120
8 8501 22320
8 8683 55190
9 10 74040
9 555 68410
9 716 75360
9 767 73640
9 815 80500
9 1442 90980
9 1501 96790
9 1550 97690
9 2316 21590
9 2742 71630
9 4222 48760
9 4335 86600
9 4378 2130
9 6754 52850
9 7363 60010
9 7553 71620
9 8491 89880
9 8674 78850
10 11 91480
10 143 94340
10 319 82150
10 386 12930
10 1032 60970
10 1500 42630
10 1593 60180
10 3308 67180
10 3637 5860
10 4314 27210
10 4662 84220
10 4884 28120
10 5144 25530
10 5351 27180
10 5787 73270
10 5856 1960
10 6031 17200
10 7247 27030
10 7528 80080
10 7688 19880
10 7970 43200
10 8625 31070
10 8729 40940
10 8879 53630
11 12 14970
11 49 55550
11 443 96690
11 473 4460
11 1039 92770
11 1747 60180
11 2036 7190
11 2187 71290
11 2494 74040
11 2888 11940
11 3311 24430
11 3339 4650
11 3341 19660
11 3692 64480
11 5527 20510
11 7253 59160
11 7609 73390
11 8423 27680
11 8988 21210
12 13 89440
12 470 82070
12 886 47850
12 1427 42980
12 1707 59090
12 2041 75860
12 2329 53490
12 2595 78460
12 3211 3020
12 3722 22100
12 4654 6870
12 5178 86270
12 5322 28790
12 5561 74870
12 5648 77420
12 6096 54230
12 6414 77480
12 6833 51260
12 7176 23590
12 7934 4960
12 8117 67820
12 8242 37060
13 14 28930
13 79 47790
13 86 58620
13 282 49290
13 306 14090
13 844 96370
13 958 69930
13 1451 94800
13 1497 10500
13 1671 16300
13 2403 79420
13 2452 86870
13 2455 5660
13 2708 30420
13 3514 23460
13 3777 26210
13 3779 30000
13 4010 89000
13 4159 43650
13 4215 25510
13 4397 80460
13 4605 56450
13 4692 97000
13 4825 71560
13 4835 42770
13 6034 13550
13 6926 81150
13 7354 5240
13 7552 96380
13 8811 24970
13 8966 86340
14 15 62920
14 46 16860
14 551 67230
14 626 60310
14 1247 34950
14 1357 35770
14 1705 92400
14 1709 4140
14 1809 23830
14 2059 75780
14 2839 89550
14 2874 97220
14 2971 66910
14 3424 72530
14 3452 51280
14 3604 8820
14 3635 26620
14 3920 45870
14 4099 85040
14 4302 80920
14 4751 20370
14 5708 52560
14 6404 98090
14 6643 18530
14 7349 31210
14 7524 55530
14 7978 48460
14 8291 22680
14 8526 9310
15 16 91090
15 39 29160
15 836 59210
15 1004 20840
15 1518 41770
15 1772 9920
15 1854 87980
15 1915 44950
15 2029 94100
15 2124 55590
15 2645 96860
15 3561 67850
15 3654 82900
15 3735 57730
15 4059 99000
15 4523 90460
15 5101 29240
15 5465 91960
15 5546 67710
15 5852 28790
15 5968 350
15 6211 45880
15 6448 36350
15 6851 54320
15 8701 67030
15 8948 39020
16 17 37620
16 246 92560
16 275 21070
16 1000 25450
16 1123 42860
16 1349 1790
16 1480 11250
16 1826 83350
16 1953 20280
16 2110 80160
16 2271 84090
16 2577 50150
16 3340 92060
16 4186 90160
16 4220 21190
16 4283 64570
16 4286 92400
16 4664 87780
16 5520 3830
16 5755 17840
16 5787 13430
16 5809 28380
16 7710 49230
16 7735 78900
16 8544 76420
16 8729 97960
16 8834 9700
17 18 12620
17 120 3940
17 1645 67080
17 2106 46440
17 2122 99680
17 2990 62720
17 3215 33450
17 3611 92160
17 3808 14990
17 3826 5880
17 5890 10150
17 6067 50090
17 6351 37210
17 7377 13680
17 7485 93310
17 8857 82800
17 8877 55020
18 19 12450
18 1031 9920
18 2186 63950
18 2413 88240
18 2971 90
18 2973 65910
18 2978 19770
18 3887 27140
18 4807 29440
18 4923 95110
18 5072 18250
18 5615 60210
18 5987 81550
18 5998 41780
18 6241 56560
18 6784 5780
18 7141 48820
18 7938 28370
18 8254 41740
18 8758 62900
18 8810 81130
19 20 70640
19 78 7930
19 897 39580
19 1322 81090
19 2151 86350
19 2232 4990
19 2275 78440
19 2708 88170
19 2837 40800
19 3030 32800
19 3522 94830
19 3706 34590
19 4044 32950
19 4304 53000
19 4332 47460
19 4545 59710
19 4685 58400
19 4860 80690
19 5285 4100
19 5664 5030
19 5832 72950
19 5874 90920
19 5892 82660
19 6000 55300
19 6019 50210
19 6558 32550
19 6594 68090
19 6872 16230
19 7415 56210
19 7467 2960
19 7761 31260
19 7876 2640
19 7898 75580
19 8336 39910
19 8705 5820
20 21 48130
20 375 96920
20 1095 82210
20 1778 77650
20 1831 19680
20 2363 990
20 3213 59590
20 3335 11260
20 3642 16720
20 3728 26330
20 4328 92410
20 4391 96750
20 4440 62190
20 4837 74110
20 4945 16280
20 5247 23550
20 5969 16680
20 6116 7830
20 6350 73130
20 8541 68380
21 22 96820
21 762 24010
21 2671 56390
21 3525 8410
21 4346 84900
21 4548 80780
21 4965 88960
21 5300 29030
21 7182 37950
21 7588 67650
21 7673 24340
21 7916 24770
21 8002 56880
21 8454 35200
21 8980 92100
22 23 25990
22 1200 99980
22 1257 2380
22 1320 57290
22 1321 58640
22 1495 64310
22 1541 33620
22 1611 66760
22 1730 10100
22 1985 11050
22 2478 97040
22 2791 52840
22 2827 89150
22 3133 26120
22 3379 42190
22 3415 81090
22 4373 41960
22 4394 27390
22 4416 25330
22 4754 53000
22 4810 62320
22 5406 59190
22 5458 29600
22 5493 10560
22 5560 36430
22 5893 75320
22 6071 80600
22 6597 33450
22 7164 28320
22 8009 51560
23 24 5860
23 179 34370
23 453 6810
23 1371 63310
23 1540 91600
23 3838 99980
23 4884 58160
23 5382 40340
23 5447 82570
23 5628 69470
23 5749 1600
23 6151 72670
23 6431 80600
23 6458 20090
23 7771 71980
23 8038 97020
23 8958 69590
24 25 12020
24 223 16670
24 689 64170
24 920 11900
24 1529 11000
24 1842 79720
24 1923 55810
24 2112 98200
24 2206 24690
24 2235 99770
24 2699 70140
24 2725 38160
24 2941 8420
24 3238 17590
24 3863 95490
24 3884 77670
24 3960 30810
24 4396 29440
24 4428 15830
24 4501 39330
24 5395 69820
24 5448 16500
24 5565 92970
24 6337 76310
24 6352 39470
24 6557 31440
24 6689 16640
24 7325 27390
24 8323 81070
24 8382 28620
24 8596 7890
24 8937 94230
25 26 8520
25 876 10430
25 1065 27230
25 1092 33290
25 1558 44270
25 1570 39360
25 1815 81260
25 2455 30710
25 2534 26430
25 2568 20390
25 2806 62950
25 2984 43930
25 3028 52770
25 3093 5400
25 3262 37200
25 3585 55730
25 4302 67700
25 4423 52310
25 5200 34210
25 5220 37720
25 5581 3460
25 5750 30130
25 6046 44570
25 6716 45840
25 6749 89990
25 7108 62740
25 7211 88410
25 8291 16180
25 8292 23540
25 8384 84540
25 8482 12030
25 8750 77860
26 27 32950
26 1124 13670
26 1339 3500
26 1519 12380
26 2145 9480
26 2299 79760
26 2632 69890
26 2914 17330
26 2974 78730
26 3130 76460
26 3494 86720
26 3580 21680
26 3617 11500
26 3708 53860
26 4011 3360
26 4820 62920
26 5437 57870
26 5465 11610
26 5542 10670
26 5879 30320
26 6112 47990
26 6303 94620
26 7062 92530
26 7114 72360
26 7280 99950
26 7656 5420
26 7727 14910
26 8928 220
27 28 78080
27 584 88690
27 594 46710
27 952 31850
27 980 85770
27 1002 32120
27 1252 75280
27 1421 73800
27 2438 73620
27 2833 88070
27 2972 69780
27 3002 59780
27 4027 54100
27 4045 40790
27 4090 80050
27 4299 84470
27 5919 16180
27 6191 18100
27 6585 65690
27 8651 69620
27 8750 93170
28 29 83340
28 1099 95790
28 1232 71840
28 1346 45630
28 2074 14860
28 2163 18530
28 2572 58550
28 3237 69780
28 3386 26950
28 3927 95830
28 4069 37220
28 4333 82380
28 4593 91420
28 4739 83860
28 4782 64910
28 5021 1740
28 5034 35440
28 5179 600
28 5277 26170
28 5371 48890
28 5511 48150
28 6070 90490
28 6784 66700
28 8447 4000
29 30 82580
29 209 49140
29 1115 58310
29 1724 57630
29 2822 85470
29 2965 96590
29 3483 73510
29 3744 82270
29 3937 40090
29 4273 79080
29 6078 21980
29 7133 81920
29 7522 6780
29 7805 7600
29 7928 75430
29 8414 8050
29 8597 58890
29 8711 23760
30 31 52290
30 134 35840
30 316 3170
30 1565 59190
30 1909 96330
30 1945 19250
30 1992 34670
30 2030 32940
30 2183 42690
30 2357 99160
30 2428 32080
30 2502 47870
30 2627 19250
30 2765 58030
30 2774 43410
30 2988 31720
30 3378 2010
30 4137 92940
30 4185 57040
30 5147 4900
30 5227 35960
30 5693 72370
30 5826 59110
30 6083 28420
30 6336 67980
30 6967 9270
30 8474 17600
31 32 93920
31 667 34430
31 719 49290
31 840 71040
31 2301 28330
31 2709 66100
31 3116 41460
31 3284 11720
31 3347 82940
31 3753 83280
31 4062 66480
31 4352 36990
31 5659 40800
31 5750 30980
31 5806 87760
31 7009 79750
31 7016 35000
31 7054 18100
31 8028 75240
32 33 26770
32 344 41720
32 378 53660
32 824 89050
32 854 14330
32 991 43320
32 1711 25490
32 1904 41340
32 2178 78460
32 2372 49090
32 3277 73800
32 3445 25910
32 3674 77690
32 4001 21060
32 4137 90480
32 4287 92150
32 4589 57630
32 5161 10350
32 5165 91670
32 5310 30140
32 5586 95990
32 5729 21700
32 5784 13880
32 6528 9470
32 6982 34080
32 7393 3060
32 7872 51850
32 8602 79670
33 34 630
33 980 62370
33 1459 25550
33 1466 77560
33 1913 65900
33 2260 48320
33 2670 33280
33 3289 25960
33 3531 91270
33 3884 37860
33 5115 40140
33 5241 3660
33 5455 23780
33 5998 51490
33 6164 56070
33 6812 11360
33 7343 40600
33 7420 18280
33 7728 14500
33 7862 26410
33 8366 55570
33 8393 16030
33 8461 99300
33 8514 87260
33 8841 36960
34 35 43600
34 633 10060
34 830 15040
34 899 2520
34 1432 4590
34 1485 27780
34 1564 91140
34 2656 74200
34 2973 53550
34 3266 21560
34 3758 25190
34 3804 46680
34 4058 3530
34 4448 1790
34 4734 19210
34 4890 6180
34 5231 85390
34 5514 12470
34 5863 53570
34 7028 19830
34 7031 43380
35 36 84920
35 214 27560
35 416 25840
35 682 99330
35 1572 59990
35 1647 57210
35 1688 74860
35 1839 42220
35 2292 75000
35 2340 59080
35 2387 29290
35 2407 36870
35 2781 8060
35 3229 48970
35 3464 41970
35 4401 81260
35 4603 95460
35 4684 76030
35 4967 9820
35 5236 29830
35 5300 51320
35 6010 2440
35 6175 94990
35 6186 89070
35 6562 17180
35 7881 28950
35 8007 23290
35 8176 82630
35 8232 38300
35 8234 97590
35 8485 980
35 8850 60230
36 37 75010
36 421 11230
36 585 90250
36 1055 64690
36 2125 21860
36 2352 8300
36 2820 19940
36 3224 94480
36 3458 92680
36 3968 42620
36 4713 59120
36 5008 17620
36 5216 96650
36 5562 24290
36 5619 74710
36 6443 44620
36 8857 29390
37 38 56570
37 383 47250
37 643 11450
37 2973 15120
37 3560 26470
37 5211 39220
37 6210 17980
37 6298 35790
37 7171 8890
37 7912 19460
37 8007 84840
37 8229 95670
37 8448 12300
37 8458 24390
38 39 27730
38 40 47060
38 422 27810
38 665 23480
38 689 89800
38 733 27810
38 1674 89050
38 1918 68950
38 2087 18420
38 2473 66310
38 2990 82520
38 3102 22170
38 3447 5920
38 3486 34270
38 4018 83710
38 4116 44050
38 4207 85150
38 4298 40170
38 4329 64040
38 5729 77810
38 6272 30390
38 6479 29470
38 6572 33430
38 7350 27890
38 7932 83140
38 8912 45470
39 40 33530
39 41 11810
39 709 49640
39 1009 99030
39 1485 13390
39 1793 76040
39 2145 77890
39 2563 52420
39 3613 86720
39 4645 74200
39 5171 11780
39 6151 1250
39 6478 80190
39 6647 39340
39 6837 21260
39 6948 18500
39 6972 99480
39 7067 59240
39 7201 7320
40 41 20970
40 579 60630
40 1318 40680
40 1326 80800
