500 4903
1 2 21180
1 63 96300
1 220 48300
1 245 57950
1 259 24140
1 263 27380
1 271 58900
1 287 4860
1 295 40740
1 301 48950
1 313 60950
1 318 28440
1 335 77060
1 342 98500
1 368 31760
1 370 39280
1 391 75240
1 396 97700
1 438 8060
2 3 11370
2 5 23070
2 9 81350
2 28 61540
2 32 80440
2 43 39800
2 77 99900
2 94 32710
2 99 18360
2 292 27580
2 320 80270
2 346 64820
2 377 85860
2 383 14370
2 403 83240
2 490 1580
3 4 95290
3 7 5990
3 29 91930
3 54 28420
3 61 33410
3 100 2390
3 134 64160
3 168 30110
3 177 96530
3 235 60270
3 247 92010
3 255 88100
3 284 57370
3 309 2930
3 336 77290
3 341 500
3 343 50420
3 375 56080
3 415 12050
3 422 9300
3 480 1820
3 486 29120
4 5 450
4 93 53980
4 100 97870
4 177 85000
4 181 21020
4 232 30160
4 280 7720
4 307 27100
4 318 99140
4 325 1010
4 334 5490
4 373 5900
4 452 74220
4 467 30880
4 477 15240
5 6 3870
5 27 74680
5 75 51370
5 80 29770
5 193 19850
5 211 53800
5 250 46450
5 263 34940
5 275 560
5 319 72070
5 381 51970
5 430 34280
5 437 19310
5 466 76050
5 476 12840
6 7 50150
6 18 10510
6 39 80010
6 42 27040
6 44 80050
6 72 97140
6 80 81430
6 122 55050
6 129 15260
6 139 88730
6 153 14410
6 206 2990
6 210 97970
6 240 94640
6 288 9730
6 387 77970
6 392 76390
6 413 90700
6 436 53900
6 474 69980
7 8 80880
7 18 4630
7 84 1910
7 88 79480
7 91 30550
7 112 19220
7 172 86200
7 191 69310
7 202 14700
7 264 4980
7 360 50250
7 379 61390
7 436 96530
7 448 35440
7 451 4380
7 499 26070
8 9 98530
8 22 62550
8 29 33930
8 31 17220
8 39 11430
8 47 33480
8 104 28830
8 144 23280
8 177 83040
8 207 95500
8 226 78730
8 234 92910
8 241 5100
8 272 91190
8 346 35460
8 351 88960
8 368 43510
8 447 29870
8 465 55500
8 473 19830
8 478 23030
8 480 2830
9 10 66430
9 20 47320
9 47 97650
9 49 67280
9 55 20380
9 94 38910
9 111 78110
9 123 24750
9 162 39200
9 205 72900
9 313 19250
9 324 37920
9 368 10140
9 390 12070
9 391 24620
9 396 86320
9 426 72720
9 461 51940
9 479 7890
10 11 64140
10 27 37430
10 29 31250
10 96 58640
10 109 21110
10 110 62240
10 121 23720
10 179 12430
10 203 99500
10 210 41190
10 233 54160
10 241 32560
10 317 85540
10 332 38050
10 344 9320
10 363 47360
10 380 14180
10 428 24640
10 448 43720
10 462 33740
10 497 43750
11 12 12360
11 73 37030
11 83 88140
11 117 73270
11 166 35810
11 173 83590
11 303 87470
11 374 15030
11 404 7150
11 462 9660
11 470 20870
12 13 70100
12 27 71810
12 38 28040
12 111 17660
12 119 88030
12 132 47330
12 178 48840
12 185 64820
12 221 60030
12 222 7500
12 227 13350
12 268 25230
12 322 29280
12 338 27390
12 347 83750
12 395 25310
12 413 6220
12 439 80020
12 497 33260
12 499 29430
13 14 12630
13 38 58580
13 66 8130
13 108 65080
13 126 23740
13 131 43160
13 162 51460
13 168 35650
13 219 50900
13 233 28070
13 255 73820
13 274 59190
13 345 5350
13 381 940
13 383 79750
13 395 54890
13 408 19620
13 438 71710
13 450 75680
14 15 14010
14 39 75780
14 64 73630
14 69 93350
14 143 21740
14 148 37150
14 156 55190
14 169 29250
14 199 29510
14 217 79920
14 230 86760
14 248 40570
14 311 10000
14 430 24890
14 448 64780
14 474 45380
15 16 34570
15 22 3180
15 32 42940
15 51 74150
15 56 83100
15 81 71010
15 84 73020
15 141 10980
15 154 53490
15 168 18180
15 208 39150
15 272 16370
15 373 40240
15 390 37470
15 431 86210
16 17 74160
16 65 65370
16 84 57740
16 96 23290
16 104 45250
