10000 99910
1 2 1590
1 32 6570
1 78 43720
1 189 90220
1 1172 77430
1 1595 4460
1 1740 18750
1 1979 16790
1 2441 56420
1 3264 11700
1 4047 42550
1 4694 39890
1 5311 15550
1 6364 65240
1 6575 95850
1 7529 48230
1 7605 89630
1 7690 67850
1 7833 33360
1 8326 59600
1 8550 39940
1 8899 94260
1 9502 6310
2 3 51680
2 129 53500
2 351 5490
2 597 26290
2 952 30150
2 1211 58060
2 2334 75030
2 2707 32550
2 3062 83370
2 4964 33300
2 5285 71170
2 5343 16990
2 5396 69860
2 5446 64480
2 6646 14220
2 6683 63360
2 7663 49240
2 7667 550
2 8342 17820
2 8615 17050
2 9037 46060
2 9881 96690
3 4 30130
3 118 75940
3 1261 38290
3 1642 39560
3 1855 64370
3 2081 8590
3 2712 90580
3 3147 56240
3 3269 89760
3 3297 27170
3 3682 77930
3 3753 3700
3 3933 44800
3 4840 17500
3 5178 61930
3 5363 67740
3 5655 97600
3 6867 19180
3 7278 11060
3 7672 2720
3 8017 22940
3 8589 45120
3 8715 70690
3 8995 86000
3 9044 38380
3 9221 64510
3 9445 75530
4 5 94290
4 43 76950
4 923 89630
4 1069 2850
4 1317 94910
4 1491 79220
4 1726 62960
4 1976 43400
4 2173 60580
4 2473 24430
4 3123 8840
4 3419 19190
4 3557 230
4 3911 45710
4 3943 95640
4 4498 53040
4 5875 65220
4 6163 80110
4 7889 46090
4 8224 64320
4 8740 11130
5 6 3020
5 389 7890
5 595 75620
5 1105 83810
5 1170 93100
5 1225 66510
5 1411 15090
5 1813 50310
5 2205 18900
5 2656 93570
5 2956 55810
5 3270 16170
5 3611 57210
5 4014 91300
5 5456 25240
5 7166 8990
5 7311 65800
5 8907 95720
5 9281 90730
5 9367 10700
5 9875 3480
6 7 42060
6 653 16800
6 865 72140
6 1405 92530
6 1776 69810
6 1828 66410
6 2370 38820
6 2905 54530
6 3619 47960
6 4505 24020
6 4535 95470
6 4636 94040
6 4680 7360
6 4784 71470
6 4974 47070
6 5042 99910
6 5562 50490
6 6373 59820
6 7382 30080
6 7495 55630
6 7755 88200
6 8385 83290
6 8533 95340
6 8759 72470
6 9063 9260
6 9376 51060
6 9974 4930
7 8 13020
7 229 1050
7 359 3050
7 1008 63660
7 1058 82300
7 2212 21730
7 2396 82120
7 2735 34150
7 2788 8000
7 3110 39780
7 3272 99300
7 3866 42520
7 3946 34310
7 4990 39740
7 5086 79320
7 6450 26470
7 7040 23620
7 7751 89350
7 8102 4640
7 8420 29240
7 9490 69400
8 9 71980
8 242 35420
8 1367 84080
8 1509 43650
8 1948 44610
8 2061 36130
8 3625 47560
8 4729 40570
8 4837 25760
8 5215 51160
8 6901 74210
8 6950 18760
8 7106 84840
8 7661 89090
8 7945 29480
8 8206 6530
8 8313 83250
8 8632 30750
8 8855 96790
8 9245 80210
9 10 89110
9 710 70050
9 981 4640
9 1488 63270
9 1750 46610
9 3350 22520
9 3638 40780
9 4046 25480
9 4189 10180
9 4213 17830
9 4356 91550
9 4737 94230
9 5624 20180
9 5640 82510
9 6026 89070
9 6896 45600
9 7933 4900
9 8742 62570
9 9064 87080
10 11 53780
10 33 12100
10 412 92560
10 843 57700
10 866 83830
10 899 2770
10 1195 43590
10 1899 10640
10 1988 24950
10 2390 80920
10 2797 35520
10 2867 35930
10 3041 12540
10 3415 91630
10 3973 75190
10 4612 88320
10 5513 50650
10 5765 85380
10 5969 20080
10 6026 70780
10 7165 93390
10 7257 2360
10 7766 13540
10 8100 73420
10 8149 28670
10 8644 26320
10 8700 13950
10 8730 11520
10 8879 19880
10 8989 55860
10 9052 60780
10 9318 28240
10 9592 6210
11 12 45440
11 993 59900
11 1102 20940
11 1130 23080
11 1480 70410
11 1692 57190
11 1768 30180
11 2115 96530
11 2427 51000
11 2674 63770
11 2930 2010
11 4298 94440
11 4732 48850
11 4862 9330
11 5600 12990
11 5824 18240
11 5834 56710
11 5887 64150
11 6502 27870
11 7836 46710
11 8184 42170
11 9239 87400
11 9523 76660
11 9740 32930
12 13 530
12 241 29200
12 696 4910
12 968 26790
12 1134 37400
12 2593 33310
12 2606 76690
12 2814 4070
12 2935 35840
12 3344 21550
12 3473 2130
12 3489 650
12 3700 10550
12 4218 24800
12 4674 73250
12 4744 68340
12 6029 69360
12 6032 75640
